src_id,abbrev,commissie,opmerking
rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2012:03:13:beantwoording-kamervragen-over-het-rapport-vastgoed-van-het-rijk-volume-en-waarde,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2012:05:03:beantwoording-kamervragen-over-het-rapport-prestaties-in-de-strafrechtketen,JenV,Vaste commissie voor Veiligheid en Justitie,
rekenkamer__kamerstuk:2012:05:16:beantwoording-kamervragen-bij-het-rapport-bij-het-jaarverslag-2011-van-de-nationale-schuld,FIN,,
rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-algemene-zaken,BZK,Vaste commissie voor Binnenlandse Zaken,
rekenkamer__kamerstuk:2012:06:11:beantwoording-vragen-tweede-kamer-bij-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-financien,FIN,,
rekenkamer__kamerstuk:2012:09:10:beantwoording-kamervragen-over-het-rapport-geldstromen-in-het-hoger-beroepsonderwijs-in-2010,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2012:09:14:beantwoording-kamervragen-over-het-rapport-publieke-organisaties-en-private,"EZK,IenW,OCW",,zie: https://www.rekenkamer.nl/documenten/2012/06/20/publieke-organisaties-en-private-activiteiten
rekenkamer__kamerstuk:2012:09:27:beantwoording-kamervragen-over-het-rapport-risico%E2%80%99s-voor-de-overheidsfinancien,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2012:10:25:beantwoording-kamervragen-bij-het-rapport-centra-voor-jeugd-en-gezin-in-gemeenten,VWS,,
rekenkamer__kamerstuk:2012:12:03:beantwoording-kamervragen-over-het-rapport-handhaving-europese-regels-voor-afvaltransport,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2013:02:01:beantwoording-kamervragen-op-de-kamerbrief-vastgoedplan-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2013:02:14:beantwoording-kamervragen-over-het-rapport-uitstapkosten-joint-strike-fighter,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2013:03:01:beantwoording-kamervragen-op-het-rapport-aanpassing-aan-klimaatverandering-strategie-en-beeld,IenW,Vaste commissie voor Infrastructuur en Milieu,
rekenkamer__kamerstuk:2013:04:17:beantwoording-kamervragen-over-het-rapport-bezuinigingen-op-uitvoeringsorganisaties,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2013:04:18:beantwoording-kamervragen-over-het-eu-trendrapport-2013,?,Commissie voor de Rijksuitgaven,
rekenkamer__kamerstuk:2013:06:07:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2012-van-het-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2013:06:07:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2012-van-het-ministerie-van-ez,EZK,Vaste commissie voor Economische Zaken,
rekenkamer__kamerstuk:2013:06:07:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2012-van-het-ministerie-van-financien,FIN,Vaste commissie voor Financiën,
rekenkamer__kamerstuk:2013:06:07:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2012-van-het-ministerie-van-ocw,OCW,"Vaste commissie voor Onderwijs, Cultuur en Wetenschap",
rekenkamer__kamerstuk:2013:06:07:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2012-van-het-ministerie-van-venj,JenV,Vaste commissie voor Veiligheid en Justitie,
rekenkamer__kamerstuk:2013:06:11:beantwoording-kamervragen-over-het-rapport-staat-van-de-rijksverantwoording-2012,RIJKS,Commissie voor de Rijksuitgaven,
rekenkamer__kamerstuk:2013:09:03:beantwoording-kamervragen-over-het-rapport-effectiviteitsonderzoek-bij-de-rijksoverheid-vervolgonderzoek,RIJKS,Commissie voor de Rijksuitgaven,
rekenkamer__kamerstuk:2013:11:04:beantwoording-kamervragen-over-het-rapport-validering-nota-in-het-belang-van-nederland,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2013:12:10:beantwoording-kamervragen-over-de-kamerbrief-input-voor-rondetafelgesprek-modernisering-comptabiliteitswet,FIN,Vaste commissie voor Financiën en de Rijksuitgaven,
rekenkamer__kamerstuk:2014:02:04:beantwoording-kamervragen-over-de-kamerbrief-aandachtspunten-overheveling-buitenonderhoud-en-aanpassing-schoolgebouwen,DEF,Vaste commissie voor Defensie,
rekenkamer__kamerstuk:2014:04:02:beantwoording-kamervragen-over-de-kamerbrief-programma-speer-van-ministerie-van-defensie,DEF,Vaste commissie voor Defensie,
